trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
213,False,"{'a': 0.015, 'e': 0.9985741666370643}",25,0,-120.0453554880351,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
214,False,"{'a': 0.015, 'e': 0.9976611297666176}",25,0,-67.796964016549,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
215,False,"{'a': 0.015, 'e': 0.9965236233508247}",30,0,-152.16870096881684,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
216,False,"{'a': 0.015, 'e': 0.9951619033238304}",20,0,-64.49483912243397,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
217,False,"{'a': 0.015, 'e': 0.9935762760668959}",20,0,-145.39923124369824,"{0: 8, 1: 2, 2: 8, 3: 1, 4: 1}",0
218,False,"{'a': 0.015, 'e': 0.991767098339465}",20,0,-127.07177125206543,"{0: 10, 1: 4, 2: 2, 3: 3, 4: 1}",0
219,False,"{'a': 0.015, 'e': 0.9897347771988937}",25,0,-106.21701632867521,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
220,False,"{'a': 0.015, 'e': 0.9874797699088649}",20,0,-65.87771003349056,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
221,False,"{'a': 0.015, 'e': 0.9850025838365056}",25,0,-196.15749865600216,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
222,False,"{'a': 0.015, 'e': 0.9823037763382316}",20,0,-58.911138239548826,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
223,False,"{'a': 0.015, 'e': 0.9793839546343447}",20,2,-78.96278202196635,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 0}",1
224,False,"{'a': 0.015, 'e': 0.9762437756724099}",20,0,-117.03913204398577,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
225,False,"{'a': 0.015, 'e': 0.9728839459794464}",25,0,-274.1637083463948,"{0: 9, 1: 1, 2: 10, 3: 1, 4: 4}",0
226,False,"{'a': 0.015, 'e': 0.969305221502961}",35,0,-172.99424379694923,"{0: 20, 1: 2, 2: 10, 3: 2, 4: 1}",0
227,False,"{'a': 0.015, 'e': 0.965508407440863}",20,0,-79.86443441686944,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
228,False,"{'a': 0.015, 'e': 0.9614943580602988}",30,0,-33.93460306033273,"{0: 22, 1: 4, 2: 4, 3: 0, 4: 0}",0
229,False,"{'a': 0.015, 'e': 0.957263976505445}",25,6,-107.27716576114696,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 1}",1
230,False,"{'a': 0.015, 'e': 0.9528182145943048}",20,0,-134.13541148016282,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
231,False,"{'a': 0.015, 'e': 0.9481580726045524}",20,0,-147.4054872084575,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
232,False,"{'a': 0.015, 'e': 0.9432845990484758}",20,0,-73.08518397801204,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
233,False,"{'a': 0.015, 'e': 0.9381988904370655}",20,0,-131.93958348597886,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
234,False,"{'a': 0.015, 'e': 0.9329020910333036}",35,0,-59.59301319077056,"{0: 25, 1: 3, 2: 7, 3: 0, 4: 0}",0
235,False,"{'a': 0.015, 'e': 0.9273953925947104}",30,2,-155.52202953070247,"{0: 15, 1: 2, 2: 8, 3: 2, 4: 1}",1
236,False,"{'a': 0.015, 'e': 0.9216800341052034}",20,0,-154.23263882414432,"{0: 12, 1: 1, 2: 2, 3: 3, 4: 2}",0
237,False,"{'a': 0.015, 'e': 0.9157573014963313}",20,0,-121.41957299040334,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
238,False,"{'a': 0.015, 'e': 0.9096285273579445}",20,0,-63.462174842891244,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
239,False,"{'a': 0.015, 'e': 0.9032950906383688}",25,0,-108.87890328668398,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
240,False,"{'a': 0.015, 'e': 0.8967584163341472}",20,2,-63.88083597936382,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 0}",1
241,False,"{'a': 0.015, 'e': 0.8900199751694213}",20,0,-109.0526120781061,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
242,False,"{'a': 0.015, 'e': 0.8830812832650261}",20,9,-59.12192431649631,"{0: 7, 1: 2, 2: 0, 3: 1, 4: 1}",1
243,False,"{'a': 0.015, 'e': 0.8759439017973674}",20,10,-34.99190617516189,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
244,False,"{'a': 0.015, 'e': 0.8686094366471651}",20,0,-93.72194769116578,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
245,False,"{'a': 0.015, 'e': 0.8610795380381355}",30,0,-164.24280266806173,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
246,False,"{'a': 0.015, 'e': 0.8533559001656995}",25,0,-100.26481193987661,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
247,False,"{'a': 0.015, 'e': 0.8454402608157944}",35,10,-134.20057037080173,"{0: 15, 1: 4, 2: 2, 3: 2, 4: 2}",1
248,False,"{'a': 0.015, 'e': 0.8373344009738802}",20,9,2.0957784942559012,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.015, 'e': 0.8290401444242248}",25,10,-11.971386991079447,"{0: 10, 1: 5, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.015, 'e': 0.8205593573395608}",20,0,-99.83465825161058,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
251,False,"{'a': 0.015, 'e': 0.8118939478612044}",25,0,-160.90739751722407,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
252,False,"{'a': 0.015, 'e': 0.8030458656697309}",25,17,2.1640282184553894,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
253,False,"{'a': 0.015, 'e': 0.794017101546306}",20,0,-23.504958705843997,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
254,False,"{'a': 0.015, 'e': 0.7848096869247678}",25,0,-114.98555652788343,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
255,False,"{'a': 0.015, 'e': 0.7754256934345628}",20,0,-77.54347216714439,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",1
256,False,"{'a': 0.015, 'e': 0.7658672324346374}",25,3,-93.79970881046842,"{0: 14, 1: 3, 2: 2, 3: 2, 4: 1}",1
257,False,"{'a': 0.015, 'e': 0.7561364545383923}",20,0,-61.969288060726214,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
258,False,"{'a': 0.015, 'e': 0.746235549129803}",30,0,-245.18761924448788,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
259,False,"{'a': 0.015, 'e': 0.736166743870817}",25,0,-143.79062624178968,"{0: 17, 1: 4, 2: 0, 3: 1, 4: 3}",0
